,Battery Current (A),RPM (rev/min),Thrust (N),Power (W),Efficiency,Torque (in-lbf),Thrust (lbf)
0.0,91.07834287188301,5567.958133859804,65.56577708764037,1686.9915420702735,0.9325032606648571,25.904964794338216,14.739776781295344
1.524,86.32361066756643,5621.558261289945,65.72664123240193,1612.60868785077,0.9363738790730906,24.59833889829929,14.775940488815046
3.048,83.02236305267478,5658.626578366364,65.65129874260772,1559.9126917829851,0.9390351935115219,23.606625879910908,14.7590028190269
4.572,77.89358257124658,5715.992465669137,64.93564493889838,1476.3375010611537,0.943128562737742,22.024130038392673,14.598117403068805
6.096,75.21731047838564,5745.816319779958,63.769620265107086,1431.9166200900195,0.9452450068590278,21.264166477633108,14.33598456217846
7.62,73.43470246828187,5765.6420280085495,62.66158590555385,1402.0196034039866,0.9466474467769834,20.720940891184462,14.086888465841655
9.144,70.26716971208164,5800.796146558604,59.892338424509106,1348.2816290740452,0.9491253198729747,19.775023183143418,13.464336708875468
10.668,68.54549328596488,5819.862445317054,57.931846430415064,1318.748517783567,0.9504646289356009,19.29482259099396,13.02360046417518
12.192,67.09316231402164,5835.924503617298,56.13730923446255,1293.6576553771572,0.9515903543930391,18.880642542559826,12.620172351690291
13.716000000000001,65.74869860028252,5850.7782302900505,54.22087668580112,1270.2888534885665,0.9526292031723614,18.461712784928736,12.189341066858265
15.240000000000002,64.08102311086307,5869.175392547518,51.870869252192925,1241.0998599043016,0.953913409719791,18.01702342845133,11.66103824571624
16.764000000000003,61.466829526824355,5897.966201350018,47.60869846196737,1194.9223256888138,0.9559169173959553,17.197289790036066,10.702863892536422
18.288000000000004,59.73266860717588,5917.030919644813,45.00940236702274,1164.0012692806488,0.95723957629993,16.733150871977628,10.118518736728015
19.812000000000005,58.15768884086373,5934.322677942921,42.550844599958104,1135.7201655403032,0.9584364550479899,16.242036143063288,9.565812823671981
21.336000000000006,56.17757350620149,5956.032156672829,40.02792731803277,1099.8932733044214,0.9599353633063893,15.678000962522075,8.99863831243963
22.860000000000007,52.057995422584106,6001.090015706133,35.022151317161665,1024.4116574969937,0.9630332019430682,14.415617208575215,7.873294815459797
24.384000000000007,49.51382861295151,6028.844778957304,32.342749696597146,977.1570272582024,0.9649326706228448,13.750084090571383,7.270941216542308
25.90800000000001,46.80097089097296,6058.381832310278,29.65509567899372,926.2305864749038,0.9669467584034923,13.018746795602485,6.6667324044989
27.43200000000001,43.900228432852,6089.898816797211,26.86787741139025,871.1668972719561,0.9690875799748364,12.209680330372029,6.040140652977231
28.95600000000001,37.69111787746026,6157.140303029408,21.59296678774073,751.180942468491,0.9736266264736867,10.55487516635493,4.854293270585206
30.48000000000001,34.05637593866328,6196.364815569043,18.75560115070143,679.6255652889747,0.9762568241155405,9.602902294319104,4.216427939088038
32.00400000000001,30.15323589774587,6238.37742279934,15.757317793637398,601.6923251880659,0.9790596136334603,8.560754616914068,3.54238685586983
33.52800000000001,24.892379023587733,6294.830830472419,11.888244498031197,494.88424554204374,0.9828026342117022,7.031707921144079,2.6725843573578953
35.052000000000014,17.972999923318703,6368.787311247779,6.271185203937397,351.3072157019782,0.9876664695065421,5.17296749969698,1.4098188745119622
36.576000000000015,16.25428552853329,6387.104979269671,5.0101801159778026,315.1230472766602,0.9888643942948777,4.551506266915281,1.126333581692854
38.100000000000016,14.17295288383832,6409.263349516914,3.5812560932579496,270.98895506034023,0.990309715197273,3.8195962330203157,0.8050986010692264
39.62400000000002,11.711458776008959,6435.437352515526,1.9207379161183982,218.3996461449641,0.9920115425265087,2.982779220483505,0.431799170184661
