Velocity (m/s),Battery Current (A),RPM (rev/min),Thrust (N),Power (W),Efficiency,Torque (in-lbf),Thrust (lbf)
0.0,27.569155556511927,7047.946309306335,17.304675783575107,530.4359796898156,0.93507587760732,6.397333586431459,3.8902468582297365
1.524,27.30208811770188,7056.371863492703,17.36414559490068,525.7927692107622,0.9357362290195724,6.339972620580453,3.9036162070440272
3.048,27.045523387549682,7064.456814512774,17.421931461723133,521.2735156023315,0.9363699257834122,6.275569430793046,3.916606989978516
4.572,26.50726259642802,7081.415273779319,17.513866745719362,511.80525864905144,0.9376974382843648,6.159542584453993,3.9372748692384243
6.096,26.19630364368538,7091.19456653388,17.56511382357528,506.28349559339773,0.938463025773984,6.087960783110813,3.9487956735641356
7.62,25.871543662068753,7101.404412084004,17.591848186260727,500.5177083824186,0.9392616428159704,6.009380331991915,3.9548057989050878
9.144,25.51661886012547,7112.5523412261555,17.607360497990197,494.19363530116846,0.9401332837857209,5.926920632397267,3.958293106192678
10.668,25.14951589925373,7124.071492776424,17.581846133914983,487.62888671473485,0.9410335700697935,5.8345495525186575,3.9525572475192936
12.192,24.72914463167459,7137.248729898527,17.537298749911137,480.0802383135602,0.9420629291839707,5.733727661963339,3.942542594668773
13.716000000000001,23.85714829055416,7164.540250739224,17.206687108758366,464.3098541512722,0.9441929199250254,5.5341438505358225,3.8682181222328595
15.240000000000002,23.291572664611532,7182.203909779642,16.896885373478376,454.01996795808236,0.9455706173734453,5.400166581667427,3.7985719039263004
16.764000000000003,22.73668253949015,7199.512230277341,16.46204542744357,443.86299961590186,0.946919449473108,5.263462033237036,3.700815970498162
18.288000000000004,22.16485092376509,7217.324378885202,15.931117150243168,433.33705310496373,0.9483065297191273,5.1230757100999735,3.5814585154290164
19.812000000000005,21.585398037253196,7235.348643858855,15.30576843868918,422.6102526257656,0.9497090837728187,4.982989387894933,3.440874496933276
21.336000000000006,20.46866811948203,7270.019295831931,13.970472270734865,401.7613993699383,0.9524036729743101,4.728269537159627,3.1406879007116344
22.860000000000007,19.777493261912593,7291.42687997619,13.164586712311248,388.75160465275223,0.9540658758021674,4.566728040592309,2.9595175742079793
24.384000000000007,18.80508221615463,7321.492005852411,12.063787852067465,370.30047887161453,0.9563973998666623,4.321680282042737,2.712048083235435
25.90800000000001,17.958811019739336,7347.601772933105,11.160225968630773,354.105933527406,0.9584198430544513,4.123575412213346,2.5089192397819153
27.43200000000001,17.007399961047263,7376.897563892559,10.24543294782101,335.747107812721,0.9606862819308937,3.9046803170839297,2.303265535566694
28.95600000000001,15.971005148976143,7408.740246380834,9.307460866269468,315.5669402894571,0.9631465122597478,3.659421406528376,2.0924009698851727
30.48000000000001,14.111011184687879,7465.713475211902,7.816814471093233,278.8675498644034,0.9675395958671233,3.246675563187997,1.7572902444319987
32.00400000000001,12.845599340313832,7504.341826143977,6.862061949620499,253.5651230731177,0.9705122824911355,2.9488927499363085,1.542653284832235
33.52800000000001,11.493887197528752,7545.497467974928,5.869962565180058,226.2244546102601,0.973673639578132,2.6287181739602135,1.3196204143155639
35.052000000000014,10.05034447319333,7589.326720864494,4.857365120311005,196.67731527771684,0.9770339807949425,2.284094334412281,1.0919793953319967
36.576000000000015,8.493079267451447,7636.471119453324,3.825376338034414,164.40010408763425,0.9806410896868523,1.9147397839716096,0.8599790291771786
38.100000000000016,6.942492476050238,7683.275299125265,2.7479238929047933,131.85021415988658,0.9842145430378739,1.5351694013339432,0.6177580224400337
39.62400000000002,5.724180182546961,7719.955043373274,1.9655664213714232,105.99367942798045,0.9870097259252812,1.2143485246623986,0.4418770216220883
41.14800000000002,4.296731577589164,7762.830343784463,1.0529092895645087,75.37096330172139,0.9902709480060571,0.8415955635204022,0.23670348447770764
